id;relation;entity1;id1;entity2;id2
220;chegou;10305;Dilma Rousseff;202;Porto Alegre
221;chegou dizer;1469;presidente Lula;1409;Dilma
222;chegou menosprezar;24;Dilma;80;Congresso
223;circulava desenvoltura;7874;Dilma.;80;Congresso
224;cita conversas;1999;Dilma;1111;Sérgio Machado
225;citando ata;1409;Dilma;1100;Conselho
226;citar impeachment;338;Estado;7874;Dilma Rousseff
227;citou;1999;Dilma;3802;Nobel
228;citou governo;7874;Dilma;9;Temer
229;colocou;4394;Dilma;3002;Maria
230;com;3909;Contraste;1999;Dilma
231;com;6;Brasil;7874;Dilma Rousseff
232;com;7874;Dilma Rousseff;10020;aviões
233;com;10224;Dilma Rousseff;10020;aviões
234;comandada ministro;5680;Dilma;75;Justiça José Eduardo Cardozo.
235;comandada ministro;7874;Dilma;75;Justiça José Eduardo Cardozo.
236;comemorou retirada;2106;Belo Horizonte;4394;Dilma Rousseff
237;comentar caso;214;Mello;11367;Dilma
238;comentar parecer;7874;Dilma;404;Anastasia.
239;cometer ilegalidades;1360;RS;4394;Dilma
240;cometeu atentado;24;Dilma Rousseff;72;Constituição
241;cometeu atentado;4394;Dilma Rousseff;72;Constituição
242;cometeu atentado;5680;Dilma Rousseff;72;Constituição
243;cometeu atentado;7874;Dilma Rousseff;72;Constituição
244;cometeu atentado;10305;Dilma Rousseff;72;Constituição
245;cometeu ato;9;Temer;7874;Dilma
246;começa impeachment;18;Senado;1999;Dilma
247;começa impeachment;18;Senado;4394;Dilma
248;começa impeachment;18;Senado;10305;Dilma
249;começando;1409;Dilma Rousseff;1718;Moura
250;começou;11367;Dilma Rousseff.;1248;senador
251;começou julgar;18;Senado;1999;Dilma Rousseff
252;compactuou;813;Petrobras;1999;Presidenta Dilma Rousseff
253;compareceu;24;Dilma Rousseff;18;Senado
254;comunicada decisão;4394;Dilma Rousseff;18;Senado
255;concentrados prédio;135;Planalto;4394;Dilma Rousseff
256;concentraram;5680;Dilma Rousseff;927;Praça
257;concentraram lado;24;Dilma;391;Teatro
258;concentraram lado;1999;Dilma;391;Teatro
259;concentraram lado;7874;Dilma;391;Teatro
260;concentravam proximidades;24;Dilma Rousseff;80;Congresso
261;concluiu;2056;senador;1999;Dilma
262;concluiu;1021;senador;7874;Dilma
263;concluiu;18;Senado;10305;Dilma
264;concluiu ato;18;Senado;7874;Dilma Rousseff
265;concluiu presidente;8252;senador;7874;Dilma Rousseff
266;condenar;18;Senado;1409;Dilma Rousseff
267;condenar;211;STF;1999;Dilma
268;condenar;18;Senado;1999;Dilma Rousseff
269;condenar;18;Senado;4394;Dilma Rousseff
270;condenar;6514;Senado;5680;Dilma Rousseff
271;confirmado afastamento;18;Senado;24;Dilma
272;confirmar impeachment;18;Senado;1290;Dilma
273;confirme;10305;Dilma;314;TSE
274;confirmou comparecerá;24;Dilma;80;Congresso
275;conheça intimidade;10305;Dilma;10305;Dilma
276;conheço;12631;BR Distribuidora.;10305;Dilma
277;conseguir presidente;9712;Levy;7874;Dilma Rousseff
278;conseguiu tornar;1409;Dilma;1482;ícone
279;construído península;271;Dilma;4277;Lago Paranoá
280;contará estrutura;10305;Dilma;18;Senado
281;contava ministérios;24;Dilma;9;Temer
282;contesta defesa;404;Anastasia;7874;Dilma
283;contestando habilitação;211;STF;7874;Dilma
284;continua indo;24;Dilma;9;Temer. BBC Brasil
285;continuar;9195;Terra;7874;Dilma
286;continuará;1999;Dilma Rousseff;851;Presidente
287;continuará trabalhando;3937;Giles;7874;Dilma
288;contra;15;Câmara;1999;Dilma
289;contra;4394;Dilma. Protesto;9;Temer
290;contra;15;Câmara;4394;Dilma
291;contra;18;Senado;10305;Dilma
292;contra;1201;Espírito Santo. Ato;11367;Dilma
293;contrariado viagens;9;Temer;1999;Dilma.
294;contrariado viagens;7821;Michel Temer;10224;Dilma
295;contrariavam;4394;gestão Dilma Rousseff;235;Lei
296;contrariavam;10305;gestão Dilma Rousseff;235;Lei
297;contratada campanha;3837;informática;1999;Dilma Rousseff
298;contratadas campanha;203;Polícia Federal;24;presidente Dilma Rousseff
299;controlou preços;1409;presidente Dilma Rousseff;813;Petrobras
300;convencer opositores;380;AM;24;Dilma
301;convencer opositores;380;AM;1999;Dilma
302;convencer opositores;380;AM;4394;Dilma
303;conversar equipe;464;TCU;7874;Dilma
304;conversou;1409;Dilma;1489;Raúl Castro
305;conversou;1490;Mariel;1409;Dilma
306;convidados abertura;24;Dilma;331;Olimpíada
307;convoca;510;Lewandowski;7874;Dilma
308;convocados denúncia;2220;ávila Carvalho;271;Dilma Rousseff.
309;costuma publicar;2752;Dilma;120;Rio2016
310;cotado assumir;7874;Dilma Rousseff;2956;Aviação
311;criado gestão;9956;Emprego;7874;Dilma Rousseff
312;criticam;1999;Dilma;1381;Pimentel
313;criticava;1401;Facebook;5680;presidente Dilma Rousseff
314;criticou;10305;Dilma;240;PEC
315;criticou desempenho;736;New York Times;5680;Dilma
316;criticou exercício;1999;Dilma Rousseff;1067;Michel Temer.
